OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,dr8_id,err_r,petroR50_r,petroR50Err_r
587727177912680556,00:00:54.77,-11:11:52.0,30,0.567,0.0,0.033,0.1,0.267,0.033,0.133,0.413,0.229,0,0,1,265944_3432,0.006643591,1.490653,0.015124
587727177912615038,00:00:11.37,-11:11:23.4,31,0.742,0.032,0.0,0.065,0.161,0.0,0.097,0.529,0.241,0,0,1,265944_3557,0.007848328,1.698805,0.036089
587727177912877107,00:02:49.13,-11:07:35.0,24,0.25,0.042,0.0,0.667,0.042,0.0,0.708,0.216,0.742,0,0,1,265946_4239,0.004099194,2.590648,0.022091
587727177913008262,00:04:00.65,-11:10:40.7,31,0.032,0.613,0.032,0.0,0.032,0.29,0.645,0.02,0.656,0,0,1,265947_3618,0.005075483,4.394875,0.167149
587727177913204910,00:05:47.07,-11:10:46.5,57,0.877,0.0,0.018,0.07,0.035,0.0,0.088,0.877,0.088,0,1,0,265949_3429,0.008850318,2.493335,0.057417
587727177913204797,00:05:32.52,-11:09:08.0,33,0.182,0.303,0.061,0.424,0.03,0.0,0.788,0.111,0.858,1,0,0,265949_3852,0.003144015,4.458515,0.785298
587727177913401503,00:07:24.48,-11:08:08.8,60,0.1,0.0,0.0,0.883,0.017,0.0,0.883,0.016,0.966,1,0,0,265951_4489,0.009724121,2.290286,0.051956
587727177913598078,00:09:05.32,-11:14:39.4,58,0.69,0.0,0.017,0.138,0.155,0.0,0.155,0.355,0.38,0,0,1,265952_2193,0.007447735,2.163493,0.019374
587727177913663586,00:09:40.83,-11:10:37.1,34,0.441,0.029,0.176,0.324,0.029,0.0,0.529,0.151,0.81,1,0,0,265953_3636,0.007074941,1.803178,0.028407
587727177913598156,00:09:20.84,-11:08:55.5,27,0.741,0.111,0.037,0.111,0.0,0.0,0.259,0.328,0.672,0,0,1,265953_4173,0.013127,3.446368,0.136083
587727177913991268,00:12:41.99,-11:08:27.8,55,0.2,0.0,0.0,0.764,0.036,0.0,0.764,0.043,0.915,1,0,0,265956_4523,0.010239,3.091288,0.065396
587727177914646629,00:18:44.45,-11:12:20.2,64,0.703,0.031,0.031,0.172,0.047,0.016,0.234,0.404,0.503,0,0,1,265962_2674,0.007922083,1.847476,0.04949
587727177915236437,00:24:36.62,-11:14:38.8,34,0.853,0.029,0.0,0.059,0.059,0.0,0.088,0.829,0.112,0,1,0,265968_2332,0.005020199,2.249563,0.077783
587727177915236498,00:24:47.41,-11:14:58.3,29,0.793,0.0,0.034,0.103,0.069,0.0,0.138,0.425,0.437,0,0,1,265968_2374,0.009651921,2.619017,0.04888
587727177915432984,00:26:12.91,-11:11:48.3,32,0.312,0.125,0.0,0.531,0.0,0.031,0.656,0.083,0.878,0,0,1,265969_3166,0.007322114,3.501412,0.034693
587727177915564098,00:27:28.70,-11:12:06.2,61,0.836,0.0,0.016,0.049,0.098,0.0,0.066,0.742,0.146,0,0,1,265970_3116,0.007387795,1.46813,0.018577
587727177915564090,00:27:25.45,-11:11:10.1,28,0.75,0.0,0.036,0.071,0.143,0.0,0.107,0.428,0.312,0,0,1,265970_3410,0.009101775,2.183903,0.029951
587727177915564039,00:27:25.18,-11:08:42.7,30,0.233,0.0,0.0,0.5,0.067,0.2,0.5,0.039,0.634,0,0,1,265970_4377,0.009933511,2.239911,2.928249
587727177915629737,00:28:11.20,-11:10:40.0,55,0.564,0.018,0.018,0.164,0.236,0.0,0.2,0.512,0.247,0,0,1,265971_3523,0.005895131,1.468489,0.009177324
587727177915564109,00:27:37.90,-11:08:42.7,51,0.667,0.0,0.039,0.137,0.137,0.02,0.176,0.405,0.37,0,0,1,265971_4073,0.007560985,1.771429,0.021377
587727177915826341,00:30:12.40,-11:10:15.9,22,0.864,0.0,0.045,0.091,0.0,0.0,0.136,0.633,0.367,0,0,1,265973_3756,0.006977286,2.582602,0.038162
587727177915891796,00:30:40.66,-11:11:30.9,64,0.531,0.0,0.062,0.391,0.016,0.0,0.453,0.236,0.743,0,0,1,265974_3698,0.009047358,2.070078,0.026908
587727177916088454,00:32:27.13,-11:14:24.3,48,0.833,0.0,0.0,0.042,0.125,0.0,0.042,0.722,0.121,0,0,1,265975_2716,0.005487311,2.368882,0.03102
587727177916022878,00:31:54.19,-11:07:31.2,51,0.843,0.039,0.0,0.059,0.059,0.0,0.098,0.787,0.152,0,0,1,265975_5003,0.005781894,1.571061,0.018276
587727177916219478,00:33:56.58,-11:13:44.2,40,0.875,0.025,0.05,0.0,0.05,0.0,0.075,0.851,0.099,0,1,0,265977_2762,0.010211,2.223765,0.060076
587727177916350539,00:34:51.18,-11:10:18.6,53,0.849,0.0,0.019,0.038,0.094,0.0,0.057,0.647,0.201,0,0,1,265978_4052,0.008645086,2.174517,0.041919
587727177916416108,00:35:23.62,-11:07:46.1,56,0.339,0.036,0.429,0.161,0.036,0.0,0.625,0.068,0.884,1,0,0,265978_5019,0.010458,3.646868,0.04535
587727177916743759,00:38:30.02,-11:11:04.8,24,0.625,0.0,0.0,0.0,0.375,0.0,0.0,0.625,0.0,0,0,1,265981_4150,0.008268157,1.596445,0.021664
587727177916743786,00:38:48.24,-11:07:56.8,31,0.452,0.452,0.0,0.065,0.032,0.0,0.516,0.197,0.763,1,0,0,265982_5056,0.007654529,2.807154,0.033228
587727177917005913,00:41:01.63,-11:10:52.5,22,0.636,0.0,0.045,0.182,0.136,0.0,0.227,0.339,0.46,0,0,1,265984_3276,0.007261474,1.805427,0.017041
587727177917136925,00:42:13.47,-11:08:16.4,29,0.483,0.069,0.0,0.241,0.034,0.172,0.31,0.324,0.441,0,0,1,265985_4093,0.007212075,2.425956,0.158867
587727177917202487,00:42:48.27,-11:10:38.9,39,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,265986_3371,0.005465706,7.082727,0.918838
587727177917268081,00:43:41.59,-11:10:55.9,30,0.067,0.033,0.0,0.9,0.0,0.0,0.933,0.024,0.976,1,0,0,265986_3395,0.008568421,3.86549,0.077706
587727177917268099,00:43:15.11,-11:07:31.4,24,0.417,0.125,0.0,0.375,0.083,0.0,0.5,0.067,0.807,1,0,0,265986_4428,0.010007,2.149852,0.030358
587727177917595711,00:46:34.17,-11:11:25.5,27,0.259,0.259,0.0,0.333,0.148,0.0,0.593,0.078,0.747,0,0,1,265989_2994,0.008695036,2.558495,0.036255
587727177917726849,00:47:51.85,-11:10:29.6,34,0.176,0.029,0.0,0.735,0.059,0.0,0.765,0.131,0.809,0,0,1,265991_3334,0.010232,2.719654,0.065058
587727177918120074,00:51:35.24,-11:09:24.2,62,0.71,0.0,0.032,0.113,0.129,0.016,0.145,0.7,0.155,0,0,1,265994_3924,0.004888689,1.54725,0.009491891
587727177911107655,23:45:55.73,-11:07:45.2,35,0.629,0.0,0.029,0.0,0.2,0.143,0.029,0.503,0.066,0,0,1,267344_4974,0.009005548,2.386082,0.050836
587727177911238771,23:47:14.62,-11:07:56.1,25,0.52,0.16,0.04,0.2,0.08,0.0,0.4,0.173,0.706,0,0,1,267345_4714,0.007990872,2.650009,0.026747
587727177911566512,23:50:34.81,-11:09:33.0,26,0.731,0.0,0.0,0.192,0.077,0.0,0.192,0.269,0.561,0,0,1,267348_3311,0.009609569,2.298342,0.045002
587727177911697515,23:51:37.77,-11:10:26.9,34,0.382,0.029,0.0,0.529,0.059,0.0,0.559,0.074,0.843,1,0,0,267349_3524,0.008709614,2.463251,0.054406
587727177911697520,23:51:38.95,-11:07:46.8,24,0.667,0.083,0.042,0.125,0.042,0.042,0.25,0.519,0.387,0,0,1,267349_4144,0.00512622,1.82848,0.018835
587727177911828568,23:52:40.49,-11:10:03.1,55,0.4,0.091,0.0,0.4,0.091,0.018,0.491,0.214,0.66,0,0,1,267350_3786,0.007378438,1.666174,0.025347
587727177911763032,23:52:11.46,-11:08:10.7,34,0.706,0.0,0.029,0.088,0.176,0.0,0.118,0.705,0.119,0,0,1,267350_4414,0.005661227,1.255174,0.010405
587727177911828617,23:53:00.23,-11:09:22.1,33,0.758,0.03,0.0,0.061,0.152,0.0,0.091,0.728,0.119,0,0,1,267351_3874,0.007076625,1.907837,0.037439
587727177911959690,23:54:18.49,-11:07:49.3,35,0.486,0.029,0.086,0.314,0.086,0.0,0.429,0.389,0.521,0,0,1,267352_4333,0.005925926,1.591804,0.020648
587727177912156240,23:56:03.67,-11:11:18.7,40,0.4,0.0,0.125,0.275,0.2,0.0,0.4,0.185,0.57,0,0,1,267354_3465,0.005727173,2.715996,0.022366
587727177912156286,23:56:01.95,-11:08:44.2,29,0.241,0.0,0.0,0.759,0.0,0.0,0.759,0.066,0.934,1,0,0,267354_4193,0.004711174,2.809564,0.076525
587727177912221827,23:56:20.28,-11:08:03.7,35,0.543,0.086,0.057,0.171,0.143,0.0,0.314,0.376,0.461,0,0,1,267354_4455,0.005838638,1.923815,0.014197
587727177912352934,23:57:36.51,-11:08:24.0,40,0.825,0.0,0.0,0.075,0.1,0.0,0.075,0.825,0.075,0,1,0,267355_4580,0.009382425,2.741739,0.113927
587727177912549518,23:59:47.96,-11:10:57.0,38,0.868,0.0,0.026,0.105,0.0,0.0,0.132,0.589,0.411,0,0,1,267357_3668,0.010053,2.175474,0.050756
587727225153257606,00:00:04.60,-10:58:34.7,30,0.6,0.0,0.0,0.133,0.233,0.033,0.133,0.368,0.264,0,0,1,267358_2719,0.007868586,1.707917,0.019297
587727225153257596,00:00:01.03,-10:56:48.0,68,0.735,0.029,0.0,0.147,0.074,0.015,0.176,0.432,0.428,0,0,1,267358_3290,0.009151939,1.712707,0.042646
587727225153323053,00:00:19.03,-10:52:59.0,59,0.559,0.0,0.068,0.22,0.153,0.0,0.288,0.412,0.417,0,0,1,267358_4427,0.007049839,1.339947,0.011221
587727225153454232,00:01:58.08,-10:57:24.1,24,0.625,0.042,0.0,0.167,0.125,0.042,0.208,0.61,0.223,0,0,1,267359_3117,0.007037206,1.182414,0.015267
587727177912746086,00:01:13.06,-11:06:13.1,65,0.585,0.046,0.092,0.246,0.031,0.0,0.385,0.364,0.599,1,0,0,267359_399,0.00438906,2.163882,0.014014
587727177912877125,00:02:18.21,-11:01:39.5,30,0.667,0.067,0.133,0.1,0.033,0.0,0.3,0.667,0.3,0,0,1,267360_1999,0.004786964,1.484682,0.013799
587727225153519717,00:02:30.21,-10:54:06.6,23,0.261,0.304,0.043,0.304,0.087,0.0,0.652,0.166,0.743,0,0,1,267360_4172,0.006239173,3.017849,0.0218
587727225153650820,00:03:42.53,-10:59:49.2,60,0.15,0.017,0.617,0.183,0.017,0.017,0.817,0.041,0.922,1,0,0,267361_2545,0.006647296,3.060182,0.020959
587727177912942710,00:03:20.84,-11:06:13.2,34,0.853,0.0,0.0,0.059,0.088,0.0,0.059,0.804,0.104,0,0,1,267361_277,0.007719004,2.318783,0.039058
