Unnamed: 0,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,dr8_id
5,587727177912811659,00:02:05.65,-11:12:38.1,33,0.061,0.818,0.0,0.121,0.0,0.0,0.939,0.034,0.966,1,0,0,265946_2961
107,587727177917923465,00:49:25.29,-11:09:50.5,62,0.0,0.968,0.032,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,265992_3062
199,587727225154764940,00:13:45.19,-10:56:11.6,40,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,267371_3388
232,587727225155354763,00:19:09.98,-10:53:08.7,31,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,267376_4284
258,587727225156141259,00:26:46.21,-10:57:38.8,29,0.0,0.862,0.034,0.069,0.034,0.0,0.966,0.0,0.966,1,0,0,267384_3393
276,587727177915826302,00:30:07.31,-11:06:49.1,33,0.03,0.909,0.0,0.03,0.0,0.03,0.939,0.03,0.939,1,0,0,267387_53
277,587727225156665442,00:31:23.71,-11:01:31.2,28,0.036,0.929,0.0,0.036,0.0,0.0,0.964,0.036,0.964,1,0,0,267388_1790
393,587727177918382117,00:53:31.26,-11:04:22.7,27,0.037,0.926,0.0,0.0,0.0,0.037,0.926,0.01,0.952,1,0,0,267410_918
436,587727177919103032,01:00:13.43,-11:02:31.8,48,0.042,0.833,0.062,0.062,0.0,0.0,0.958,0.042,0.958,1,0,0,267417_1556
442,587727177919037514,01:00:04.13,-11:04:57.4,33,0.0,0.97,0.03,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,267417_591
552,587727177910583419,23:41:13.33,-10:59:30.1,65,0.077,0.908,0.0,0.015,0.0,0.0,0.923,0.077,0.923,1,0,0,268755_2373
592,587727177911566479,23:50:19.24,-11:03:59.5,57,0.0,0.982,0.0,0.0,0.0,0.018,0.982,0.0,0.982,1,0,0,268764_1031
751,587727178451583052,00:19:36.74,-10:47:38.4,29,0.103,0.862,0.0,0.034,0.0,0.0,0.897,0.02,0.98,1,0,0,268793_1414
803,587727178452435051,00:27:47.88,-10:49:26.6,43,0.023,0.907,0.023,0.0,0.0,0.047,0.93,0.008,0.945,1,0,0,268801_989
853,587727225157255237,00:36:52.41,-10:52:09.9,34,0.0,0.912,0.059,0.029,0.0,0.0,1.0,0.0,1.0,1,0,0,268810_69
922,587727178455253203,00:53:46.83,-10:42:58.1,72,0.0,0.986,0.0,0.0,0.0,0.014,0.986,0.0,0.986,1,0,0,268826_2752
