epoch,step,val_loss,val_acc,val_calibration_error,val_chirality_violation,train_loss_epoch,train_acc_epoch,train_calibration_error_epoch,test_loss,test_acc,test_calibration_error,test_chirality_violation
0,49,0.9295361042022704,0.6408724784851074,0.1203584894537925,,0.9697844982147216,0.6090580821037292,0.1116437837481498,,,,
1,99,1.4887497425079346,0.365379273891449,0.1306948363780975,-0.0591869316995143,0.8819566369056702,0.6747707724571228,0.1245764568448066,,,,
2,149,0.7933873534202576,0.721172571182251,0.1117690801620483,-0.1166556179523468,0.8038994073867798,0.7183939814567566,0.1262108534574508,,,,
3,249,0.8143585324287415,0.7158933281898499,0.1841582059860229,0.0061114421114325,0.7539721131324768,0.7447901964187622,0.1233307346701622,,,,
4,299,0.8457475304603577,0.7099193930625916,0.1088908091187477,-0.0247510652989149,0.7262343168258667,0.7589608430862427,0.1247185319662094,,,,
5,399,0.7200658917427063,0.7678521871566772,0.101891316473484,-0.0446430705487728,0.7076713442802429,0.7684078812599182,0.1186087504029274,,,,
6,449,0.685757040977478,0.7834120392799377,0.1315385848283767,-0.1195867210626602,0.6953359842300415,0.7804945707321167,0.1263759732246399,,,,
7,549,0.6971142888069153,0.7829952836036682,0.1495471894741058,-0.0570905059576034,0.6903605461120605,0.7784106731414795,0.124767392873764,,,,
8,599,0.682686448097229,0.7832731604576111,0.1158378049731254,0.0033775663468986,0.6867602467536926,0.7802167534828186,0.1195023283362388,,,,
9,649,0.6942628622055054,0.7731314301490784,0.1091421321034431,0.0462483242154121,0.6817879676818848,0.7857738137245178,0.1206052303314209,,,,
10,749,0.6863150596618652,0.7882745265960693,0.110498122870922,-0.0898531302809715,0.6734558343887329,0.7943873405456543,0.1247472241520881,,,,
11,799,0.6651866436004639,0.8053625822067261,0.1255637258291244,-0.082489363849163,0.6721066832542419,0.7902194857597351,0.1265968233346939,,,,
12,899,0.6764262318611145,0.7857738137245178,0.1193587407469749,0.0025643394328653,0.6700102686882019,0.7913309335708618,0.1293720304965973,,,,
13,949,0.6603439450263977,0.8081411719322205,0.1270115375518798,-0.0209149233996868,0.6661475896835327,0.7977215647697449,0.1231435090303421,,,,
14,1049,0.6632593870162964,0.7952209115028381,0.1456188261508941,-0.0321999080479145,0.6646290421485901,0.7952209115028381,0.1223703399300575,,,,
15,1099,0.6746535897254944,0.8013337254524231,0.1255795806646347,-0.0715916231274604,0.6631742715835571,0.7968880534172058,0.1281460523605346,,,,
16,1199,0.6615522503852844,0.8011947870254517,0.1333191096782684,-0.0291873477399349,0.6598802208900452,0.8067518472671509,0.1270683407783508,,,,
17,1249,0.6614786386489868,0.7929980754852295,0.1372667700052261,-0.0331999883055686,0.6611720323562622,0.7996665835380554,0.128281757235527,,,,
18,1299,0.6578660607337952,0.8018894195556641,0.1408183425664901,-0.1077141612768173,0.6597820520401001,0.7963322997093201,0.1261074244976043,,,,
19,1399,0.650947093963623,0.8070297241210938,0.1357240080833435,-0.0952746570110321,0.6568233370780945,0.8038343787193298,0.1333805322647094,,,,
20,1449,0.6495121121406555,0.8077243566513062,0.12476247549057,-0.0903315395116806,0.6524385213851929,0.8075854182243347,0.1309568136930465,,,,
21,1549,0.6560637950897217,0.7956376671791077,0.1155524253845214,-0.0457829311490058,0.6545706987380981,0.8066129684448242,0.130886897444725,,,,
22,1599,0.6604457497596741,0.8143928647041321,0.1123333051800727,-0.2009239345788955,0.6533412337303162,0.8078632950782776,0.1309616714715957,,,,
23,1699,0.6606576442718506,0.7952209115028381,0.1164620369672775,0.0173324849456548,0.6500215530395508,0.8032786846160889,0.1297284960746765,,,,
24,1749,0.6477985978126526,0.8148096799850464,0.1310828179121017,-0.0726177096366882,0.6524784564971924,0.8073076009750366,0.1295151710510254,,,,
25,1849,0.6486068964004517,0.8142539858818054,0.1273073107004165,-0.0466667003929615,0.6512282490730286,0.8075854182243347,0.129141017794609,,,,
26,1899,0.6449533104896545,0.8099471926689148,0.1395403295755386,-0.0568887889385223,0.64992755651474,0.8074465394020081,0.1303772032260894,,,,
27,1949,0.6475969552993774,0.8138371706008911,0.1411502361297607,-0.075251817703247,0.6487218141555786,0.8089747428894043,0.1284296512603759,,,,
28,2049,0.6457399725914001,0.8182828426361084,0.1366208493709564,-0.1537520140409469,0.6473225951194763,0.8109197020530701,0.1273939758539199,,,,
29,2099,0.6499674916267395,0.8132814764976501,0.1365001052618026,0.0306581351906061,0.6464530229568481,0.8124479055404663,0.1274609267711639,,,,
30,2199,0.6421688795089722,0.8195332288742065,0.1325708925724029,-0.124031975865364,0.6460086703300476,0.8088358044624329,0.1262208670377731,,,,
31,2249,0.6497005224227905,0.8135592937469482,0.140941634774208,0.0169999282807111,0.6453390121459961,0.8093914985656738,0.1276562660932541,,,,
32,2349,0.6393926739692688,0.8189774751663208,0.1254780143499374,-0.0430048778653144,0.6447439789772034,0.8102250695228577,0.1293960809707641,,,,
33,2399,0.6400977373123169,0.8155043125152588,0.1309767067432403,-0.1051004528999328,0.6427344083786011,0.8166157007217407,0.134833738207817,,,,
34,2449,0.6428511738777161,0.8103640079498291,0.1273512989282608,-0.0966955199837684,0.646028459072113,0.8103640079498291,0.1292322278022766,,,,
35,2549,0.6387936472892761,0.8220338821411133,0.1332128942012787,-0.0646974667906761,0.6431891322135925,0.8145318031311035,0.1295128911733627,,,,
36,2599,0.6420145034790039,0.8206446170806885,0.1251384615898132,-0.1694628596305847,0.6406273245811462,0.8203667402267456,0.134245678782463,,,,
37,2699,0.6383957862854004,0.8223117589950562,0.1339912712574005,-0.0608677789568901,0.6410375237464905,0.8156432509422302,0.1321213692426681,,,,
38,2749,0.6378604173660278,0.8188385367393494,0.1351862102746963,-0.1207929104566574,0.6390842199325562,0.814115047454834,0.1272460967302322,,,,
39,2849,0.6400562524795532,0.8139761090278625,0.124922975897789,-0.0635312795639038,0.6399708986282349,0.8184217810630798,0.1338520348072052,,,,
40,2899,0.6357037425041199,0.8238399624824524,0.1358095407485962,-0.1329934895038604,0.6384386420249939,0.8166157007217407,0.132572516798973,,,,
41,2999,0.6349528431892395,0.8256459832191467,0.1382248401641845,-0.1352303624153137,0.6389595866203308,0.8186996579170227,0.1333413422107696,,,,
42,3049,0.6370354890823364,0.8278688788414001,0.1455133855342865,-0.0296370256692171,0.6365577578544617,0.8191164135932922,0.1348052024841308,,,,
43,3099,0.6416486501693726,0.8199499845504761,0.1280232369899749,-0.0582619756460189,0.638604998588562,0.8167546391487122,0.1318396031856537,,,,
44,3199,0.6405316591262817,0.822589635848999,0.1319124698638916,-0.1544916331768036,0.6378602981567383,0.8216171264648438,0.1342291086912155,,,,
45,3249,0.6404511332511902,0.8200889229774475,0.1375495195388794,0.0892074629664421,0.6373739838600159,0.8248124718666077,0.1351052671670913,,,,
46,3349,0.6325192451477051,0.8305084705352783,0.1418053805828094,-0.1150949895381927,0.6407422423362732,0.8084189891815186,0.1294929534196853,,,,
47,3399,0.6341715455055237,0.8253681659698486,0.1456189006567001,-0.0707731395959854,0.6367831230163574,0.8180050253868103,0.133005604147911,,,,
48,3499,0.6345210075378418,0.8223117589950562,0.1290046721696853,-0.0613523758947849,0.6363323330879211,0.8218949437141418,0.1360071003437042,,,,
49,3549,0.63438880443573,0.8250902891159058,0.1251257956027984,-0.0501813031733036,0.635322630405426,0.8256459832191467,0.1368963122367859,,,,
50,3649,0.6313531994819641,0.8264795541763306,0.1410114616155624,-0.0897160544991493,0.634978175163269,0.8263406753540039,0.1393020898103714,,,,
51,3699,0.6302093267440796,0.823701024055481,0.1354305148124694,-0.1003110706806182,0.6332995891571045,0.8248124718666077,0.1340660899877548,,,,
52,3749,0.6319566965103149,0.8302305936813354,0.1392985135316848,-0.1831479370594024,0.6336035132408142,0.8220338821411133,0.1346819400787353,,,,
53,3849,0.6322024464607239,0.8299527764320374,0.1476814895868301,-0.1677661091089248,0.6326620578765869,0.8288413286209106,0.1326082944869995,,,,
54,3899,0.6301411986351013,0.8274520635604858,0.1309853494167328,-0.1281435340642929,0.6328473687171936,0.826062798500061,0.1362107694149017,,,,
55,3999,0.6360727548599243,0.8180050253868103,0.1165865808725357,-0.1042559519410133,0.6322776675224304,0.8250902891159058,0.1366271525621414,,,,
56,4049,0.6298011541366577,0.829535961151123,0.139989748597145,-0.1321430206298828,0.632194459438324,0.8250902891159058,0.1321430057287216,,,,
57,4149,0.6298879384994507,0.8307863473892212,0.1412306725978851,-0.0592746585607528,0.6314720511436462,0.8259238600730896,0.139170303940773,,,,
58,4199,0.6324968338012695,0.8267574310302734,0.1276665478944778,0.029449313879013,0.6312759518623352,0.8193942904472351,0.1343322098255157,,,,
59,4249,0.6282879710197449,0.8313420414924622,0.1469749510288238,-0.1030664071440696,0.6336656212806702,0.8252292275428772,0.1335511207580566,,,,
60,4320,,,,,,,,0.6296455264091492,0.8281466960906982,0.1445395052433014,-0.0741189643740654
