softmax prob,Overlap,Err
[0.1929252  0.10369361 0.7033811 ],0.01185583893842971,0.011388801038756394
[0.01193154 0.8478156  0.14025286],2.23009844116439e-05,1.484132922158288e-05
[0.01958874 0.1821676  0.7982436 ],0.0002104025538606861,0.0002894358157791885
[0.01736894 0.01544125 0.9671898 ],2.3159484116857393e-06,6.456278896389408e-07
[0.12552282 0.09413135 0.7803458 ],0.00040690575047911916,0.00023021829302631217
[0.04289419 0.10892307 0.84818274],0.00021855805226088883,0.0001241295486461591
[0.014625   0.3741628  0.61121225],0.008786572447407347,0.003359538746599164
[0.0581688  0.03882423 0.903007  ],1.0304695236237072e-05,6.781529704634391e-06
[0.13897005 0.03321697 0.82781297],8.73518403719338e-05,3.030750838106302e-05
[0.06086692 0.03780048 0.9013326 ],8.934073505135612e-06,4.519931395700089e-06
[0.0197997 0.3970041 0.5831962],0.010462761695356707,0.00565853911224841
[0.5233728  0.01524913 0.46137798],0.010419184665579376,0.00526538408217095
[0.0956626  0.26000333 0.6443341 ],0.001694861810592502,0.0013739640765679162
[0.02083246 0.01844171 0.9607258 ],3.830744378799589e-06,1.988166724316285e-06
[0.10440825 0.02560055 0.8699912 ],1.9817149004203104e-05,8.344036007956892e-06
[0.01692459 0.01946315 0.96361226],2.14596803535179e-06,1.9676484311521283e-07
[0.0162357  0.01523187 0.9685324 ],2.140911969966357e-06,5.825423752564922e-07
[0.08273347 0.04452697 0.8727395 ],0.00011906312523925775,0.00015337959118937047
[0.02540642 0.0321087  0.942485  ],2.7699708073622385e-06,6.108887229450962e-07
[0.0247097  0.05417689 0.9211134 ],0.00014336817317812454,0.00016267460026826684
[0.01505617 0.02167664 0.96326715],4.485454171934405e-06,2.165123163220097e-06
[0.373058   0.01849911 0.6084429 ],0.005956934122249933,0.002510506722471488
[0.42245978 0.04183897 0.53570116],0.01504453501831334,0.005320236064657017
[0.05774548 0.10337937 0.8388752 ],4.855862745457409e-05,3.278854649184215e-05
[0.12517294 0.01391291 0.8609142 ],1.146356911550881e-05,4.475271619617389e-06
[0.05207836 0.02943408 0.9184876 ],4.1387133899191284e-05,1.4714792956558326e-05
[0.33575544 0.02445432 0.6397903 ],0.002243033526277505,0.0010570930299534367
[0.24140999 0.05650407 0.702086  ],0.0007425491212130209,0.00027121852856096766
[0.0884387  0.07612    0.83544123],0.00010032957683567204,4.845891436521643e-05
[0.01542587 0.04813263 0.9364415 ],4.439046149414896e-06,1.445888317215614e-06
[0.03655267 0.31997433 0.643473  ],0.0028697779481817376,0.0007126381950526082
[0.03510217 0.03073911 0.93415874],6.409349036152234e-06,3.057663007984833e-06
[0.01969069 0.10235061 0.8779588 ],2.7834120631066454e-05,1.3413675939489851e-05
[0.01669462 0.01805719 0.96524817],2.076922165017683e-06,1.1713111723222928e-07
[0.01534165 0.01479786 0.96986043],1.8436252946844277e-06,5.629903885624542e-08
[0.05411199 0.04096608 0.9049219 ],4.29472123850605e-05,3.1310659330910795e-05
[0.01904101 0.04322802 0.9377309 ],3.0656280090054424e-06,7.980679450765254e-07
[0.11711476 0.08130156 0.8015837 ],0.000319256010195525,0.00044476219393397903
[0.06688718 0.10367874 0.8294341 ],0.00011504552219411267,8.175479299279269e-05
[0.03797623 0.03552013 0.9265036 ],2.2529521302059768e-05,1.404191676789493e-05
[0.02588366 0.02790697 0.9462094 ],4.0768965708744986e-05,5.3464229866047144e-05
[0.09326841 0.02637884 0.8803527 ],5.529239227783139e-05,3.383170538918952e-05
[0.02430305 0.19966607 0.77603084],0.00047116461465045455,0.00033227974393693196
[0.01788587 0.01644797 0.9656662 ],4.158928063917637e-06,4.014467997971823e-06
[0.01448792 0.01502612 0.970486  ],1.829844327078357e-06,1.0868650205633666e-07
