softmax prob,Overlap,Err
[0.20331632 0.06916191 0.72752184],0.016550960441053347,0.01603377307498819
[0.01469141 0.8169576  0.16835098],0.0004719376163326853,0.0009021318612238044
[0.00599825 0.12525599 0.86874574],1.7251387640643185e-05,1.0509261757651504e-05
[0.00800548 0.02629642 0.9656981 ],2.2731531421304157e-06,9.648079449168612e-07
[0.20390013 0.03192035 0.7641795 ],0.00026488163903149733,0.00022569418217690003
[0.13002695 0.09918553 0.7707875 ],0.00034961601763167766,0.0002186659237441522
[0.02017207 0.44327825 0.5365496 ],0.0047060509009280264,0.004428263474359556
[0.03543945 0.19993193 0.76462865],0.0006953925989326019,0.0012096478126228532
[0.05171844 0.04667105 0.90161055],2.5221950671620837e-05,1.6387370459209042e-05
[0.0870636  0.01208358 0.9008528 ],1.2771731244962965e-05,9.403758195954259e-06
[0.00845147 0.401275   0.5902735 ],0.009725218414615508,0.004263700776649904
[0.63162965 0.01473371 0.3536366 ],0.007132239065563151,0.0050147848422975524
[0.12674361 0.07508983 0.7981666 ],0.0006273365069878697,0.0002539116017540018
[0.02148807 0.01731898 0.96119297],4.894743618596939e-06,3.494462723423292e-06
[0.06628473 0.0373751  0.89634013],8.654237550882252e-05,7.946800138848829e-05
[0.01476397 0.01571146 0.9695246 ],1.3551560280588196e-06,1.8882698366615165e-07
[0.03831913 0.00810951 0.9535713 ],2.3403734788692856e-06,1.3038266421341126e-06
[0.07492397 0.03181417 0.89326185],3.530166292484613e-05,2.5914812842374474e-05
[0.01642734 0.01545705 0.9681157 ],2.5895401070314413e-06,6.630860069397694e-07
[0.00983991 0.04192404 0.94823605],1.0828410152407133e-05,9.305445139969717e-06
[0.03069901 0.03337196 0.935929  ],7.1245744813969734e-06,2.838308235956975e-06
[0.5587509  0.01506736 0.42618173],0.008502836617728016,0.0033876835435516202
[0.47780105 0.01376791 0.508431  ],0.010060570372345472,0.00666665747590845
[0.03798068 0.08566235 0.87635696],8.954468965013798e-05,6.018448388202518e-05
[0.03875763 0.02727452 0.9339679 ],6.749188084736141e-06,5.853073561519704e-06
[0.03241372 0.03488189 0.9327044 ],1.0981844044782409e-05,9.56528100387611e-06
[0.26598403 0.04914581 0.6848701 ],0.00102021193688557,0.0005590345600654232
[0.27602324 0.01685889 0.70711786],0.0033370528909546036,0.0024190644610830115
[0.02624123 0.05909903 0.91465974],1.8609236617988333e-05,1.2635323759142995e-05
[0.01456081 0.01383869 0.9716005 ],1.297363007030174e-06,2.1899641491943754e-07
[0.01000725 0.44462582 0.545367  ],0.00236614234634879,0.00245931136587562
[0.01373748 0.04464947 0.941613  ],2.5157107711734483e-06,7.670291435015764e-07
[0.05935105 0.0281673  0.91248167],6.631341960014485e-06,3.276466752110111e-06
[0.0297983 0.0301124 0.9400892],4.278102822233857e-06,1.592852036417095e-06
[0.01804838 0.01102314 0.97092855],1.29681891396227e-06,3.0371186800402495e-07
[0.03141347 0.13613974 0.8324468 ],0.00014590713684098396,0.0003038121835136272
[0.0139395 0.0340744 0.9519861],2.69092491722295e-06,6.199412450897628e-07
[0.20150873 0.00685331 0.79163796],0.00035539980125693326,0.00033531700661976996
[0.02686216 0.08194792 0.89118993],0.00010207532478901982,5.532965483597924e-05
[0.0940555  0.02436584 0.8815787 ],2.196787812101695e-05,1.468661430091853e-05
[0.14086825 0.00643971 0.85269207],8.787576772919804e-06,6.008768128285427e-06
[0.02051123 0.11891814 0.86057067],2.2527624978084086e-05,1.5735333884238377e-05
[0.01564686 0.2837524  0.70060074],0.002105577627183604,0.001966910798330232
[0.00428997 0.01546651 0.98024344],3.524507710239562e-06,2.4492506053799183e-06
[0.01072675 0.00678911 0.98248416],1.047564011710486e-06,1.7613426828562303e-07
[0.04913126 0.15814804 0.7927207 ],0.001507053461326294,0.0010575599377479535
[0.03509606 0.57086384 0.39404008],0.006587410179650619,0.005124386696813626
[0.02960414 0.04065809 0.92973787],1.5164033971548045e-05,8.439450028707916e-06
[0.31977582 0.04994205 0.63028216],0.010635259844078322,0.005683838425228959
[0.04175016 0.16957965 0.78867024],0.0001503571426794119,0.00011176861798360483
[0.03383245 0.01801614 0.94815135],2.4775309716101164e-06,9.241097009268085e-07
[0.29535624 0.03921629 0.66542745],0.01387217442051053,0.011330693135104448
[0.08098434 0.02927526 0.8897404 ],0.00015409134807315388,0.0001584416131076258
[0.00768327 0.38324374 0.60907304],0.0079142960217325,0.003998974440153377
[0.00539036 0.01072845 0.9838811 ],1.3541293878948974e-06,3.585115511271327e-07
[0.0647388  0.1306291  0.80463207],0.00021254284333105972,0.00014013008835316482
[0.00125959 0.00275842 0.99598205],6.692703407825325e-07,2.7119819006244472e-08
[0.00377724 0.5791041  0.41711864],0.0039938784681956205,0.002581194152265812
[0.49378246 0.01111906 0.49509847],0.006084410994332187,0.004582026688342792
[0.05128168 0.03659468 0.9121237 ],7.29641334919184e-06,2.949607918675875e-06
[0.01034301 0.22515552 0.7645014 ],0.0022425345308261825,0.0021298213820257084
[0.02386516 0.05457533 0.9215595 ],7.035196949028998e-06,2.65542926602992e-06
[0.03565923 0.09533703 0.8690038 ],3.626531195013365e-05,2.7607175225906486e-05
[0.03038294 0.03173416 0.93788284],4.091215244853739e-05,5.204587460095412e-05
[0.42301172 0.01352157 0.56346667],0.005815477648771854,0.003156550777914122
[0.05810085 0.03804754 0.9038516 ],1.1892685623134746e-05,6.4335570787416375e-06
[0.00623247 0.8759665  0.11780099],3.4550718911746056e-06,4.110250775519061e-06
[0.05466188 0.20141272 0.74392545],0.0005159183750733698,0.00036438065629233095
