softmax prob,Overlap,Err
[0.21229213 0.08594964 0.70175815],[0.09324912 0.00019662 0.00014991],[0.26374833 0.00055611 0.00042401]
[0.0145857  0.8258272  0.15958709],[1.36814329e-06 5.29963512e-02 1.30834291e-05],[3.86969359e-06 1.49896317e-01 3.70055258e-05]
[0.01662415 0.22086132 0.7625145 ],[0.0128123  0.00012199 0.01032875],[0.03623865 0.00034503 0.02921411]
[0.01771532 0.01575595 0.9665287 ],[6.43411414e-02 2.19727599e-07 2.21566647e-07],[1.81984230e-01 6.21483500e-07 6.26685115e-07]
[0.10042459 0.11027356 0.7893019 ],[7.31708373e-02 5.84277194e-05 1.81233949e-05],[2.06958381e-01 1.65258546e-04 5.12607017e-05]
[0.04809656 0.09364966 0.8582537 ],[7.04963288e-02 4.40784384e-05 1.78261654e-04],[1.99393729e-01 1.24672651e-04 5.04200098e-04]
[0.01295421 0.39168003 0.5953658 ],[0.00088186 0.00312678 0.07131802],[0.00249428 0.00884386 0.20171781]
[0.06121327 0.02892448 0.9098623 ],[7.34362310e-02 1.26740030e-06 1.43833201e-06],[2.07709028e-01 3.58474940e-06 4.06821727e-06]
[0.12696111 0.03817681 0.83486205],[6.43156181e-02 4.49484152e-05 8.67943480e-06],[1.81912039e-01 1.27133317e-04 2.45491488e-05]
[0.05232427 0.04502095 0.90265477],[6.47975821e-02 1.13672220e-06 3.20970747e-06],[1.83275239e-01 3.21513591e-06 9.07842368e-06]
[0.02039095 0.43777764 0.54183143],[0.00180114 0.00222896 0.10380836],[0.0050944  0.00630445 0.29361438]
[0.53406024 0.01445989 0.45147985],[0.00325359 0.09977515 0.00241741],[0.00920253 0.28220675 0.00683746]
[0.0806601  0.27170712 0.64763284],[7.02192537e-02 6.94698897e-05 2.83515461e-04],[1.98610042e-01 1.96490520e-04 8.01902819e-04]
[0.01928112 0.01744733 0.96327156],[6.58445909e-02 3.00543016e-07 3.16570666e-07],[1.86236627e-01 8.50064018e-07 8.95397057e-07]
[0.10971665 0.02386927 0.86641407],[7.30589721e-02 2.00984051e-06 1.54043671e-06],[2.06641978e-01 5.68468742e-06 4.35701297e-06]
[0.01785327 0.01957241 0.9625743 ],[6.39436762e-02 2.43459236e-07 2.22299839e-07],[1.80860028e-01 6.88606708e-07 6.28758895e-07]
[0.015742  0.0151867 0.9690713],[6.24571834e-02 2.92226207e-07 2.15877695e-07],[1.76655592e-01 8.26540531e-07 6.10594328e-07]
