softmax prob,Overlap,Err
[0.20331632 0.06916191 0.72752184],[0.0213592  0.01630426 0.00065854],[0.06041294 0.0461154  0.00186262]
[0.01469141 0.8169576  0.16835098],[5.92767107e-06 4.44293288e-02 1.16982920e-04],[1.67659856e-05 1.25665119e-01 3.30877665e-04]
[0.00599825 0.12525599 0.86874574],[6.30729197e-02 6.19074346e-07 1.61449848e-06],[1.78397157e-01 1.75100667e-06 4.56649128e-06]
[0.00800548 0.02629642 0.9656981 ],[5.87861949e-02 1.51705977e-07 2.62067828e-07],[1.66272468e-01 4.29089301e-07 7.41239753e-07]
[0.20390013 0.03192035 0.7641795 ],[7.87300330e-02 4.64468552e-05 2.09227186e-05],[2.22682161e-01 1.31371545e-04 5.91783848e-05]
[0.13002695 0.09918553 0.7707875 ],[8.01965786e-02 2.43116241e-05 5.00034616e-05],[2.26830178e-01 6.87636571e-05 1.41431147e-04]
[0.02017207 0.44327825 0.5365496 ],[9.63351642e-05 1.31359496e-02 8.54058007e-03],[0.00027248 0.03715408 0.02415641]
[0.03543945 0.19993193 0.76462865],[3.40347675e-02 3.89044733e-05 1.11109589e-03],[0.09626486 0.00011004 0.00314265]
[0.05171844 0.04667105 0.90161055],[7.30658028e-02 2.12809719e-06 1.57004543e-06],[2.06661298e-01 6.01916781e-06 4.44075909e-06]
[0.0870636  0.01208358 0.9008528 ],[7.10314880e-02 3.09710677e-06 1.69764924e-06],[2.00907387e-01 8.75994080e-06 4.80167715e-06]
[0.00845147 0.401275   0.5902735 ],[0.00219665 0.00130999 0.09376828],[0.00621306 0.0037052  0.26521675]
[0.63162965 0.01473371 0.3536366 ],[0.00013467 0.00912902 0.01471879],[0.00038092 0.02582076 0.04163103]
[0.12674361 0.07508983 0.7981666 ],[7.34871532e-02 2.66488820e-04 7.76525306e-05],[0.20785306 0.00075374 0.00021963]
[0.02148807 0.01731898 0.96119297],[6.43351313e-02 4.48681516e-07 3.27899567e-07],[1.81967231e-01 1.26906297e-06 9.27440030e-07]
[0.06628473 0.0373751  0.89634013],[6.70816648e-02 5.34805038e-06 1.84396278e-06],[1.89735600e-01 1.51265707e-05 5.21551434e-06]
[0.01476397 0.01571146 0.9695246 ],[6.06416635e-02 1.34516829e-07 1.56606277e-07],[1.71520526e-01 3.80471047e-07 4.42949442e-07]
[0.03831913 0.00810951 0.9535713 ],[6.25672113e-02 1.65920398e-07 1.64038807e-07],[1.76966798e-01 4.69293755e-07 4.63971810e-07]
[0.07492397 0.03181417 0.89326185],[7.10027406e-02 8.65807970e-06 3.47884222e-06],[2.00826078e-01 2.44887475e-05 9.83965169e-06]
[0.01642734 0.01545705 0.9681157 ],[6.37652956e-02 2.47712218e-07 3.05516336e-07],[1.80355492e-01 7.00635956e-07 8.64130692e-07]
[0.00983991 0.04192404 0.94823605],[6.79614203e-02 4.29251639e-06 1.70697337e-06],[1.92223925e-01 1.21410698e-05 4.82804977e-06]
[0.03069901 0.03337196 0.935929  ],[6.11236152e-02 1.59507256e-06 7.36026489e-06],[1.72883691e-01 4.51154650e-06 2.08179729e-05]
[0.5587509  0.01506736 0.42618173],[0.00093396 0.0618292  0.00439914],[0.00264165 0.1748794  0.01244264]
[0.47780105 0.01376791 0.508431  ],[0.0002621  0.0249969  0.00746816],[0.00074134 0.07070192 0.02112313]
[0.03798068 0.08566235 0.87635696],[6.13647939e-02 1.09788973e-05 7.00597526e-05],[1.73565847e-01 3.10530110e-05 1.98158905e-04]
[0.03875763 0.02727452 0.9339679 ],[6.49261788e-02 5.18980846e-07 3.68847843e-07],[1.83638965e-01 1.46789950e-06 1.04325925e-06]
[0.03241372 0.03488189 0.9327044 ],[5.21695961e-02 3.54705290e-06 3.97301978e-05],[1.47557901e-01 1.00325806e-05 1.12373969e-04]
[0.26598403 0.04914581 0.6848701 ],[4.16656177e-02 1.42108699e-03 8.77170853e-05],[0.11784816 0.00401944 0.0002481 ]
[0.27602324 0.01685889 0.70711786],[0.00416006 0.05835952 0.00075259],[0.01176644 0.16506564 0.00212866]
