[0.23780301 0.06655245 0.69564456],[0.09314851 0.00019998 0.00015285],[0.26346378 0.00056563 0.00043232]
[0.01355539 0.8414573  0.14498734],[1.52592419e-06 5.21373627e-02 1.62586236e-05],[4.31596538e-06 1.47466731e-01 4.59863319e-05]
[0.01729811 0.15740848 0.82529336],[0.01219071 0.00011555 0.01042246],[0.03448052 0.00032683 0.02947917]
[0.01669876 0.01551256 0.96778864],[6.43105277e-02 2.20683324e-07 2.24789016e-07],[1.81897641e-01 6.24186698e-07 6.35799349e-07]
[0.10173268 0.1353003  0.7629671 ],[7.40561133e-02 6.65058263e-05 2.11106524e-05],[2.09462320e-01 1.88106883e-04 5.97099420e-05]
[0.04224128 0.09670612 0.86105263],[7.12999174e-02 4.55379604e-05 1.78731792e-04],[2.01666620e-01 1.28800803e-04 5.05529848e-04]
[0.01218117 0.4116395  0.5761794 ],[0.00092224 0.00282069 0.07553739],[0.0026085 0.0079781 0.213652 ]
[0.04935744 0.03727445 0.91336817],[7.38723350e-02 1.32757071e-06 1.46562674e-06],[2.08942516e-01 3.75493701e-06 4.14541841e-06]
[0.14914222 0.03561815 0.81523955],[6.37759489e-02 4.25737339e-05 7.97877796e-06],[1.80385624e-01 1.20416704e-04 2.25673920e-05]
[0.0486766  0.04881666 0.90250665],[6.40949667e-02 1.25229799e-06 4.16910035e-06],[1.81287942e-01 3.54203360e-06 1.17919965e-05]
[0.02253864 0.3960853  0.581376  ],[0.00186977 0.00209322 0.10595853],[0.0052885  0.00592051 0.29969598]
[0.4989319  0.01707053 0.48399746],[0.00296397 0.10485055 0.00253735],[0.00838338 0.29656215 0.00717671]
[0.11884686 0.21279483 0.6683583 ],[7.62896722e-02 7.99856833e-05 2.40325889e-04],[0.21577978 0.00022623 0.00067974]
[0.02185381 0.01676608 0.9613801 ],[6.55231087e-02 2.99792271e-07 3.30430284e-07],[1.85327338e-01 8.47940591e-07 9.34597979e-07]
[0.13567995 0.02131577 0.8430042 ],[7.28970368e-02 1.97896005e-06 1.49783450e-06],[2.06183956e-01 5.59734429e-06 4.23651573e-06]
[0.01706408 0.02034885 0.9625871 ],[6.42017652e-02 2.37560347e-07 2.24601716e-07],[1.81590014e-01 6.71922129e-07 6.35269586e-07]
[0.01602475 0.01519782 0.9687774 ],[6.25146896e-02 2.76085342e-07 2.09936462e-07],[1.76818244e-01 7.80887270e-07 5.93789984e-07]
[0.07960647 0.05227649 0.86811703],[7.22202454e-02 4.03567719e-06 2.22103979e-06],[2.04269701e-01 1.14146188e-05 6.28204919e-06]
[0.02358413 0.03119161 0.9452242 ],[6.42530538e-02 2.64504401e-07 3.18888482e-07],[1.81735080e-01 7.48131423e-07 9.01952833e-07]
[0.02395782 0.05078414 0.92525804],[7.05645700e-02 3.26899336e-05 1.31028729e-04],[1.99586744e-01 9.24610948e-05 3.70605211e-04]
[0.01388071 0.02038055 0.96573865],[6.90128136e-02 5.38025828e-07 5.64426010e-07],[1.95197714e-01 1.52176685e-06 1.59643784e-06]
[0.37592846 0.01903336 0.6050381 ],[0.00819283 0.03064224 0.00044696],[0.02317283 0.08666936 0.00126419]
[0.38893673 0.04522879 0.56583446],[0.00413765 0.09322529 0.00249016],[0.01170304 0.26368094 0.00704324]
