[0.11976594 0.16781613 0.7124179 ],[0.04925735 0.00233998 0.00025277],[0.13932083 0.00661847 0.00071493]
[0.02367618 0.11269562 0.8636282 ],[7.66703451e-02 1.19017826e-05 6.34321494e-06],[2.16856484e-01 3.36633248e-05 1.79413212e-05]
[0.01726296 0.02780332 0.95493376],[6.29110067e-02 5.38993186e-07 3.15709468e-07],[1.77939198e-01 1.52450295e-06 8.92961224e-07]
[0.10550854 0.06456726 0.8299243 ],[4.82224505e-02 2.84515686e-04 2.01135380e-05],[1.36393687e-01 8.04731885e-04 5.68896764e-05]
[0.35277125 0.01831937 0.62890935],[0.00068071 0.05597356 0.00417829],[0.00192535 0.15831714 0.01181799]
[0.07248463 0.0315701  0.8959453 ],[7.43068373e-02 2.36583373e-06 3.55438437e-06],[2.10171474e-01 6.69158828e-06 1.00533172e-05]
[0.01347389 0.0072059  0.97932017],[6.09003170e-02 1.28943991e-07 1.33755973e-07],[1.72252109e-01 3.64708681e-07 3.78319021e-07]
[0.05160316 0.0544701  0.8939268 ],[6.5942624e-02 1.8416760e-06 5.9208305e-06],[1.86513907e-01 5.20904636e-06 1.67466376e-05]
[0.07427219 0.18030724 0.7454206 ],[0.09189329 0.00058235 0.00092541],[0.25991348 0.00164714 0.00261744]
[0.01842534 0.016057   0.9655177 ],[6.07295992e-02 2.43869109e-07 4.72921662e-07],[1.71769246e-01 6.89766004e-07 1.33762446e-06]
[0.06705226 0.12892723 0.8040205 ],[0.06418979 0.00077423 0.00014872],[0.18155615 0.00218984 0.00042063]
[0.01209524 0.01583897 0.9720658 ],[6.45374721e-02 2.32498692e-07 2.40234960e-07],[1.82539537e-01 6.57605606e-07 6.79487077e-07]
[0.01139477 0.01529947 0.97330576],[6.23496266e-02 5.76615106e-07 3.11585836e-07],[1.76351375e-01 1.63091381e-06 8.81297831e-07]
[0.04123094 0.01920919 0.93955994],[6.31116983e-02 2.66664019e-07 3.76853597e-07],[1.78506839e-01 7.54239746e-07 1.06590293e-06]
[0.17410703 0.02347322 0.8024198 ],[4.81824061e-02 6.62626054e-05 4.39826428e-06],[1.36280424e-01 1.87418951e-04 1.24401700e-05]
[0.02589679 0.05256386 0.92153925],[2.81260685e-02 3.28982157e-05 1.41924599e-03],[7.95525352e-02 9.30502056e-05 4.01423386e-03]
[0.02361424 0.01662341 0.95976233],[6.59617865e-02 3.19304031e-07 3.46623633e-07],[1.86568106e-01 9.03128182e-07 9.80399684e-07]
[0.02023187 0.05664674 0.9231213 ],[6.98380780e-02 4.45809777e-06 2.03405603e-06],[1.97531914e-01 1.26094047e-05 5.75317924e-06]
[0.02621738 0.01293184 0.9608508 ],[6.83222652e-02 6.45372461e-07 8.95573060e-07],[1.93244548e-01 1.82538897e-06 2.53306313e-06]
[0.01472452 0.01764132 0.96763414],[6.49584430e-02 7.49664089e-07 4.48851604e-07],[1.83730222e-01 2.12037024e-06 1.26954405e-06]
[0.46109274 0.01359799 0.52530926],[0.00752884 0.03596773 0.00055702],[0.02129477 0.1017321  0.00157548]
[0.30345884 0.02380362 0.67273754],[0.0727288  0.00046032 0.00012768],[0.2057081  0.00130197 0.00036115]
[0.08307489 0.02595762 0.89096755],[7.26151707e-02 9.49166530e-07 9.38176377e-07],[2.05386719e-01 2.68464836e-06 2.65356351e-06]
[0.09279784 0.03016346 0.8770387 ],[7.73376406e-02 2.41023800e-06 2.63032022e-06],[2.18743880e-01 6.81718253e-06 7.43966907e-06]
[0.0390634  0.74536854 0.21556804],[4.24739295e-05 3.55775984e-02 1.09876697e-03],[0.00012013 0.10062864 0.00310778]
[0.04710101 0.05600527 0.8968937 ],[6.66190694e-02 1.48851823e-06 7.81653081e-07],[1.88427183e-01 4.21016534e-06 2.21084878e-06]
[0.01390288 0.00828522 0.9778119 ],[5.98260688e-02 1.23918176e-07 1.13739822e-07],[1.69213676e-01 3.50493531e-07 3.21704798e-07]
[0.01163483 0.01042319 0.97794205],[5.86662521e-02 1.37352036e-07 1.06957835e-07],[1.65933219e-01 3.88490223e-07 3.02522442e-07]
[0.01835553 0.22163981 0.76000464],[3.94829153e-02 7.34817020e-05 1.37173999e-03],[0.11167455 0.00020784 0.00387987]
[0.03586359 0.0153291  0.94880724],[6.49346652e-02 4.30042657e-07 6.97383048e-07],[1.83662969e-01 1.21634431e-06 1.97249713e-06]
[0.03112456 0.05686926 0.91200614],[6.53107169e-02 1.04655732e-06 5.69707831e-07],[1.84726603e-01 2.96011110e-06 1.61137708e-06]
[0.11248776 0.02905069 0.85846156],[8.26832667e-02 1.27221180e-05 1.84670857e-05],[2.33863594e-01 3.59835838e-05 5.22328062e-05]
[0.05228103 0.02633282 0.9213861 ],[5.83695929e-02 5.16390333e-06 9.69819897e-07],[1.65094140e-01 1.46057243e-05 2.74306490e-06]
[0.01308938 0.04024311 0.9466675 ],[6.59111948e-02 3.86226582e-07 4.73905930e-07],[1.86425011e-01 1.09241374e-06 1.34040839e-06]
[0.0377216  0.03381833 0.92846   ],[7.12120433e-02 1.00174012e-06 1.29277149e-06],[2.01418075e-01 2.83334893e-06 3.65650994e-06]
[0.01751866 0.03612697 0.9463543 ],[6.48359292e-02 3.59609703e-07 2.98400831e-07],[1.83383701e-01 1.01712984e-06 8.44005004e-07]
[0.47165316 0.04682849 0.4815184 ],[0.01045646 0.03303864 0.00074988],[0.02957535 0.09344738 0.00212097]
[0.01453918 0.01297829 0.9724825 ],[6.23339631e-02 4.09888574e-07 2.62423945e-07],[1.76307072e-01 1.15933996e-06 7.42247004e-07]
[0.01954604 0.00977399 0.9706799 ],[6.62734911e-02 4.15516525e-07 5.22967727e-07],[1.87449740e-01 1.17525821e-06 1.47917610e-06]
[0.0170863 0.0220606 0.9608531],[6.33092147e-02 2.11589808e-07 2.46124330e-07],[1.79065500e-01 5.98466352e-07 6.96144731e-07]
[0.04763606 0.03197291 0.92039096],[6.58734360e-02 1.39693237e-06 7.12577709e-07],[1.86318213e-01 3.95112140e-06 2.01547412e-06]
[0.1711809  0.07873718 0.75008196],[0.07646419 0.00032225 0.00010712],[0.21627339 0.00091147 0.00030299]
[0.06986011 0.04707851 0.88306147],[7.29153634e-02 4.57688867e-06 1.06234818e-05],[2.06235792e-01 1.29453961e-05 3.00477442e-05]
[0.05680623 0.06724026 0.87595356],[8.18978922e-02 2.78328183e-05 1.64373948e-05],[2.31642220e-01 7.87230983e-05 4.64919733e-05]
[0.04369116 0.00498005 0.9513288 ],[5.93705941e-02 2.00538232e-07 1.36392595e-07],[1.67925399e-01 5.67207776e-07 3.85776516e-07]
[0.01569228 0.0981812  0.88612646],[3.96471476e-02 9.28151966e-06 2.39475250e-04],[1.12139068e-01 2.62521020e-05 6.77338292e-04]
[0.67940414 0.01922986 0.301366  ],[0.0092406  0.04857026 0.00135602],[0.02613637 0.13737745 0.00383541]
[0.17203715 0.07956452 0.7483983 ],[8.75323035e-02 2.26315553e-05 2.70660300e-05],[2.47578742e-01 6.40117048e-05 7.65542935e-05]
[0.12793778 0.03727525 0.83478695],[8.22050721e-02 1.18567911e-05 1.75325263e-05],[2.32511056e-01 3.35360696e-05 4.95894731e-05]
[0.03838512 0.01272272 0.9488922 ],[6.84038476e-02 4.63383578e-07 4.55914134e-07],[1.93475298e-01 1.31064668e-06 1.28951990e-06]
[0.4101815  0.00996424 0.57985425],[0.00739607 0.0379847  0.0006101 ],[0.02091926 0.10743695 0.00172564]
[0.02457251 0.02139584 0.9540317 ],[6.35635166e-02 2.05737264e-07 2.22752577e-07],[1.79784774e-01 5.81912857e-07 6.30039430e-07]
[0.01577551 0.01260877 0.9716157 ],[6.18381074e-02 2.01763734e-07 2.85390732e-07],[1.74904580e-01 5.70674018e-07 8.07206887e-07]
[0.10637346 0.0831437  0.8104828 ],[7.04641452e-02 2.46590732e-04 6.15059319e-05],[1.99302699e-01 6.97463915e-04 1.73965046e-04]
[0.00959708 0.04151572 0.9488872 ],[7.09683552e-02 4.95637574e-06 2.35122414e-06],[2.00728821e-01 1.40187476e-05 6.65026613e-06]
[0.03464609 0.05435246 0.91100144],[7.05181700e-02 1.36736987e-06 9.85099679e-07],[1.99455505e-01 3.86750604e-06 2.78628265e-06]
[0.02407505 0.05285664 0.9230683 ],[7.16359373e-02 1.32971438e-06 1.05348815e-06],[2.02617028e-01 3.76100021e-06 2.97971445e-06]
[0.01098658 0.00366596 0.9853474 ],[5.96064312e-02 1.08328488e-07 1.17539548e-07],[1.68592447e-01 3.06399233e-07 3.32452047e-07]
[0.01292252 0.5812009  0.40587658],[3.73445341e-05 2.13774648e-02 2.41920285e-03],[0.00010563 0.0604646  0.00684254]
[0.09473877 0.05363054 0.8516307 ],[7.79690183e-02 2.54601499e-06 2.68365201e-06],[2.20529686e-01 7.20121785e-06 7.59051413e-06]
